phi;theta;Vol (um3);Flatness;Target
358.229;69.0421;0.00558917;2.26337;0
345.816;1.52238;0.0269967;1.2428;0
335.522;48.5543;0.00685464;1.22478;0
209.015;50.273;0.00870012;1.17929;0
204.229;22.5814;0.0144123;1.24365;0
204.085;16.8269;0.0251161;1.15672;0
198.814;64.6439;0.00506189;1.38285;0
196.432;45.1861;0.0049037;1.14589;0
195.185;60.6293;0.00750495;1.982;0
194.846;44.1813;0.00522007;2.75679;0
194.775;59.1988;0.0065207;1.80196;0
194.411;62.9721;0.00479825;1.66068;0
193.828;24.3438;0.0053431;1.5095;0
193.662;44.9798;0.00513219;1.40694;0
193.592;58.7866;0.00824314;2.54578;0
193.437;60.7782;0.00541341;3.31106;0
193.299;22.6562;0.0088583;2.37008;0
193.134;47.7489;0.00857709;1.50822;0
193.102;37.8279;0.0216536;3.22132;0
193.06;46.8635;0.00594069;2.56423;0
193.043;58.0497;0.00724131;2.42198;0
192.561;58.2766;0.00950862;1.37083;0
192.296;46.9368;0.0107038;2.07109;0
192.23;25.1296;0.00820799;1.56263;0
191.938;46.9807;0.0229894;1.51904;0
191.889;23.8287;0.00537826;2.80557;0
191.877;18.424;0.00486855;2.03288;0
191.743;46.9935;0.00980741;1.17119;0
191.61;28.9;0.00641524;1.13012;0
191.501;60.1711;0.00479825;1.19558;0
191.483;47.5427;0.00530795;1.56947;0
191.384;61.7703;0.00810254;1.99241;0
191.361;59.9464;0.00543098;2.24104;0
191.305;51.9732;0.00978983;3.42694;0
191.303;47.8884;0.0366108;1.22975;0
191.296;45.1411;0.00822557;1.57008;0
191.285;24.5698;0.006591;1.44751;0
191.202;42.7489;0.0127953;2.73548;0
191.156;26.9582;0.00529038;1.49305;0
191.091;41.0749;0.0106511;2.25233;0
191.023;59.9112;0.00866497;1.49902;0
190.978;46.1194;0.00522007;2.10447;0
190.973;46.4281;0.00516734;1.27249;0
190.928;59.6233;0.00530795;3.09211;0
190.91;19.614;0.0062219;1.31854;0
190.891;58.5238;0.00513219;4.12306;0
190.833;57.2541;0.0047631;1.6227;0
190.8;52.2015;0.016873;3.52412;0
190.711;45.9182;0.0103874;1.17209;0
190.658;25.4096;0.00562432;1.59373;0
190.644;59.5173;0.00551886;3.12478;0
190.631;61.1566;0.00541341;1.76081;0
190.554;61.5347;0.00574735;1.56337;0
190.552;61.0996;0.0053431;1.65978;0
