phi;theta;Vol (um3);Flatness;TargetNames;TargetVal
6.88062;61.8751;0.031215;1.25104;Low Angle;0
7.7748;59.7022;0.0256258;2.61123;Low Angle;0
8.09165;59.0638;0.033535;1.41346;Low Angle;0
8.87477;59.0443;0.0265925;1.53257;Low Angle;0
9.0173;59.1937;0.0245888;1.3721;Low Angle;0
9.09478;61.1174;0.026241;1.36684;Low Angle;0
9.12345;59.0125;0.0247294;1.25576;Low Angle;0
9.25728;59.8007;0.0239561;1.52336;Low Angle;0
9.598;60.3268;0.0437115;1.85525;Low Angle;0
9.67944;59.7948;0.024044;2.09878;Low Angle;0
9.72384;60.3913;0.0675973;2.01548;Low Angle;0
9.73824;59.0942;0.0691088;1.48631;Low Angle;0
9.99661;61.0773;0.0238155;1.72003;Low Angle;0
10.0091;59.7627;0.0282974;1.71549;Low Angle;0
10.0706;61.4365;0.0451527;1.76124;Low Angle;0
10.268;60.9796;0.0281743;1.92602;Low Angle;0
10.2813;60.8498;0.0248876;1.92081;Low Angle;0
10.3282;61.7801;0.028104;1.75966;Low Angle;0
10.3314;59.7079;0.026241;1.82983;Low Angle;0
10.5287;60.5782;0.0246943;2.82473;Low Angle;0
10.6372;60.4572;0.0485098;2.3843;Low Angle;0
10.934;62.601;0.0247119;2.82829;Low Angle;0
11.0249;59.21;0.0666658;1.52027;Low Angle;0
11.0874;61.7628;0.0233585;1.25612;Low Angle;0
11.1831;58.209;0.0470685;1.50921;Low Angle;0
11.4768;59.7935;0.102679;3.36412;Low Angle;0
11.4854;58.5187;0.0232355;1.29874;Low Angle;0
11.6752;59.206;0.0349235;2.4548;Low Angle;0
11.7808;58.7446;0.0480704;1.88324;Low Angle;0
11.9268;60.3702;0.0267155;1.77554;Low Angle;0
12.2559;60.8681;0.0292816;1.39194;Low Angle;0
12.4839;62.2851;0.0261004;1.32038;Low Angle;0
12.5898;61.9508;0.040003;1.60275;Low Angle;0
12.6609;61.0908;0.0302659;1.37595;Low Angle;0
12.7836;59.4634;0.0341326;1.79131;Low Angle;0
12.9451;61.2935;0.0312326;2.2723;Low Angle;0
13.0149;53.9758;0.0405303;3.93278;Low Angle;0
13.0995;61.5968;0.0244834;1.49847;Low Angle;0
13.127;60.1341;0.0513043;2.2195;Low Angle;0
13.3244;33.4088;0.0365932;2.49136;Low Angle;0
13.4006;61.2182;0.395372;1.25343;Low Angle;0
13.4036;61.5942;0.0813945;1.72764;Low Angle;0
13.529;59.0965;0.0381223;1.2631;Low Angle;0
13.7612;61.0854;0.0353102;1.67688;Low Angle;0
13.7664;60.8517;0.0402139;1.37718;Low Angle;0
13.7822;36.6561;0.0332538;1.21498;Low Angle;0
13.809;60.8624;0.0274889;1.9186;Low Angle;0
13.9924;60.4545;0.0664021;1.61502;Low Angle;0
14.5464;55.8167;0.13175;3.42259;Low Angle;0
14.6831;62.1447;0.0263113;1.15852;Low Angle;0
15.6061;32.7584;0.0309338;1.11766;Low Angle;0
15.627;54.1515;0.0243252;1.30037;Low Angle;0
16.1674;33.5683;0.0429557;1.08177;Low Angle;0
16.3575;42.8075;0.0863157;2.52641;Low Angle;0
16.7307;33.6734;0.0232355;1.15499;Low Angle;0
17.2156;32.2149;0.0256434;1.45805;Low Angle;0
17.4185;35.0981;0.0315841;1.28601;Low Angle;0
17.4239;33.3418;0.111854;1.48666;Low Angle;0
17.5269;34.0543;0.0255731;1.52713;Low Angle;0
17.6735;37.3909;0.114191;1.82716;Low Angle;0
17.9534;32.5254;0.0267858;1.30371;Low Angle;0
18.1946;32.9653;0.0238506;1.12695;Low Angle;0
18.5391;38.24;0.0246064;2.82978;Low Angle;0
18.5982;34.1075;0.02313;2.08187;Low Angle;0
18.7159;33.4924;0.0300901;1.9966;Low Angle;0
18.7186;26.176;0.0650488;1.2547;Low Angle;0
19.1185;33.6382;0.0636251;1.12163;Low Angle;0
19.1864;33.2266;0.0290356;1.11077;Low Angle;0
19.8344;33.0447;0.0344314;1.67017;Low Angle;0
20.7594;30.4464;0.0230773;1.57715;Low Angle;0
21.1127;41.7183;0.0242197;1.84999;Low Angle;0
22.067;33.2218;0.0285962;1.8903;Low Angle;0
30.2346;13.4554;0.0506365;1.49267;Low Angle;0
73.3948;4.08958;0.0287719;1.69925;Low Angle;0
82.043;6.30264;0.154001;1.7672;Low Angle;0
151.372;24.4185;0.4481;2.34773;HighAngle;1
152.413;23.5785;0.0411103;2.09163;HighAngle;1
152.558;21.3459;0.14038;1.16142;HighAngle;1
152.725;23.9417;0.112117;1.86997;HighAngle;1
153.552;23.3278;0.024044;1.15581;HighAngle;1
154.972;28.1161;0.065207;1.56634;HighAngle;1
155.58;7.60507;0.0311447;1.25656;HighAngle;1
156.43;21.4164;0.0260125;1.36263;HighAngle;1
157.132;21.1616;0.0248876;1.0939;HighAngle;1
157.23;32.4695;0.0311798;1.61399;HighAngle;1
158.271;23.2384;0.0314786;1.31003;HighAngle;1
159.719;31.5009;0.029598;1.93215;HighAngle;1
162.582;19.1455;0.0895146;1.30458;HighAngle;1
162.604;29.056;0.0254325;1.26615;HighAngle;1
163.174;21.4872;0.0471916;2.29733;HighAngle;1
164.38;22.2358;0.0266979;1.20337;HighAngle;1
165.275;26.3105;0.152876;2.22899;HighAngle;1
