Phi;Theta;Vol;TargetVal
86.2521;53.8519;0.0306877;1
90.125;89.1006;0.167359;1
93.4755;70.6312;0.0452582;1
94.3669;68.3858;0.0443794;1
96.2117;16.7087;0.159344;1
97.2804;47.1578;0.0443091;1
99.146;46.0726;0.0601978;1
99.6724;48.2877;0.0448891;1
99.6741;48.7817;0.0455218;1
99.757;48.7047;0.0314786;1
99.8199;47.6737;0.164072;1
99.944;48.3933;0.0698119;1
100.457;47.7562;0.0495995;1
101.39;48.0946;0.0674918;1
101.552;48.711;0.0576141;1
101.69;47.9969;0.0509001;1
101.899;63.8991;0.033535;1
102.262;46.8793;0.0291234;1
102.297;48.9147;0.0400557;1
102.32;48.9331;0.0430964;1
102.329;48.2348;0.281972;1
102.467;48.4687;0.038263;1
102.61;51.104;0.0887588;1
102.617;48.6163;0.0544856;1
102.638;49.1409;0.059319;1
102.709;47.5218;0.031215;1
102.821;47.5996;0.0431315;1
102.951;48.0935;0.0327441;1
103.022;49.6959;0.0406181;1
103.139;48.7188;0.105878;1
103.197;48.631;0.118884;1
103.334;49.6046;0.0849624;1
103.467;47.4526;0.0486855;1
103.531;47.7141;0.0311095;1
103.659;52.2518;0.0785999;1
103.678;48.2838;0.0733095;1
103.794;47.6075;0.0793908;1
103.824;47.2872;0.0317071;1
104.005;48.8394;0.0952795;1
104.288;48.9189;0.121362;1
104.52;46.7597;0.303309;1
104.638;48.9305;0.0589851;1
104.946;47.5526;0.0324629;1
104.979;49.0306;0.0683531;1
105.43;50.6983;0.0292816;1
106.319;32.3254;0.0743465;1
106.435;44.6685;0.0417957;1
106.821;45.5486;0.0599517;1
106.85;46.7964;0.0384211;1
108.301;45.7314;0.173721;1
109.197;44.931;0.0900243;1
111.823;15.6183;0.0381399;1
112.898;27.2925;0.0610239;1
113.118;16.4296;0.0387551;1
114.522;20.2546;0.0345193;1
114.782;21.078;0.047754;1
114.874;22.0608;0.0300725;1
115.278;21.8405;0.0317598;1
115.295;21.6452;0.029721;1
115.384;21.065;0.06301;1
115.564;22.2623;0.115668;1
116.228;22.5149;0.0312326;1
116.291;21.1947;0.0596002;1
116.814;14.8805;0.050531;1
116.978;22.1695;0.0380696;1
117.307;22.6303;0.0300022;1
117.415;21.5403;0.061639;1
117.603;21.4979;0.0402315;1
117.749;21.5238;0.0508825;1
118.13;21.7207;0.0377532;1
118.187;19.933;0.108866;1
118.34;20.2718;0.165847;1
119.055;20.4799;0.0326386;1
119.512;21.3251;0.0427976;1
120.187;22.1584;0.0288949;1
120.569;22.0029;0.129043;1
120.604;19.292;0.0441685;1
120.691;24.0855;0.192281;1
120.936;21.281;0.0377884;1
121.057;20.1163;0.051111;1
121.075;23.7;0.0308107;1
121.296;20.5829;0.0498807;1
121.886;22.219;0.104085;1
122.637;22.6523;0.0334471;1
123.36;22.0401;0.0333768;1
123.462;20.8072;0.0327792;1
123.942;20.9863;0.0478419;1
124.271;14.0896;0.102855;1
125.606;19.2786;0.195234;1
126.586;17.1712;0.0314962;1
127.092;22.1402;0.0727822;1
127.368;20.0028;0.116968;1
157.663;14.5956;0.056542;0
162.44;13.1617;0.0559796;0
190.066;10.793;0.0875109;0
193.027;18.5153;0.0630451;0
219.29;30.4717;0.048211;0
237.298;13.5407;0.0457679;0
246.171;39.1202;0.0619906;0
248.417;29.9838;2.74644;0
248.666;36.6554;0.125106;0
250.419;34.736;0.411683;0
250.971;35.1375;0.521638;0
254.396;50.6691;0.0368217;0
256.009;35.1735;0.0442212;0
256.875;35.6521;0.0347653;0
259.881;58.6141;0.0379114;0
259.925;61.1012;0.0395636;0
261.392;60.3556;0.228804;0
261.76;40.6357;0.0748035;0
262.329;43.3379;0.0631154;0
262.467;69.7765;0.0367338;0
262.679;39.3409;0.138639;0
263.737;61.6521;0.0402666;0
264.236;39.9536;2.99857;0
264.652;38.7928;0.0329726;0
265.599;39.5323;0.0294398;0
265.934;39.9;0.038632;0
267.077;38.5054;0.0361714;0
267.143;25.3953;0.0434303;0
267.26;38.9433;0.0329374;0
267.321;72.518;0.054468;0
267.466;36.9466;0.313503;0
268;38.1813;0.0375599;0
268.005;57.672;0.0319883;0
268.171;39.5535;0.073415;0
268.26;60.5529;0.0706379;0
268.869;40.629;0.0789162;0
269.303;63.6954;0.908011;0
269.398;39.4694;0.0392999;0
269.987;40.3923;0.0992341;0
270.871;57.3955;0.0432194;0
271.671;57.4572;0.19418;0
272.215;59.5755;0.0331659;0
272.295;57.4985;0.0487207;0
273.134;40.3094;0.0289652;0
273.415;55.4289;0.06301;0
273.939;58.8099;0.0406006;0
274.18;56.8851;0.0358023;0
274.366;60.1056;0.0461546;0
274.434;69.7867;0.0756471;0
274.45;59.2272;0.0319004;0
274.871;57.2573;0.0484219;0
275.342;56.6183;0.0626233;0
278.477;67.7329;0.044643;0
