phi,theta,TargetVal
271.694,57.4233,0
260.025,60.6128,0
274.871,57.2573,0
274.366,60.1056,0
270.874,57.3946,0
273.939,58.8099,0
259.925,61.1012,0
271.38,57.7266,0
263.772,61.6765,0
268.005,57.672,0
274.397,59.3093,0
272.055,59.5753,0
255.983,59.9599,0
274.476,55.2185,0
106.608,49.3204,0
273.49,58.2572,0
272.071,59.1655,0
260.312,60.2839,0
270.066,59.3023,0
272.402,82.8053,0
273.963,58.1075,0
261.328,62.7684,0
62.6562,46.5128,0
275.212,56.2692,0
272.6,41.5319,0
265.449,47.9049,0
272.768,57.7115,0
268.389,58.9247,0
272.597,57.4738,0
260.974,59.6534,0
273.349,56.7322,0
259.395,61.7443,0
260.119,60.7067,0
259.334,60.6823,0
274.409,59.5761,0
273.935,58.5283,1
272.293,57.52,1
274.797,56.5521,1
269.836,59.2891,1
273.291,57.2977,1
259.065,60.8302,1
274.461,57.8558,1
273.04,57.6238,1
265.68,60.2528,1
276.394,57.2993,1
270.549,56.1033,1
272.858,57.3484,1
265.994,55.6713,1
259.713,57.5474,1
275.857,58.5933,1
274.444,57.9862,1
273.16,58.2966,1
274.329,58.4787,1
273.365,58.5205,1
256.656,59.4536,1
269.211,58.2497,1
273.205,59.2287,1
272.513,58.3763,1
259.286,60.4565,1
171.947,37.5362,1
273.068,58.2395,1
271.843,56.2619,1
271.914,57.1757,1
263.108,57.7092,1
259.854,59.664,1
270.463,58.5068,1
269.525,58.183,1
274.808,55.4741,1
259.011,60.6645,1
257.808,37.7066,1
270.742,58.3727,1
273.639,55.2429,1
272.983,58.1238,1
275.033,55.6631,1
273.454,58.034,1
273.536,57.4255,1
261.905,60.5673,1
259.323,57.4065,1
269.379,57.6327,1
258.158,59.8581,1
275.209,60.0221,1
273.964,58.6437,1
330.892,15.728,1
274.766,53.9789,1
268.216,47.8709,1
274.495,59.5256,1
271.9,57.3894,1
271.86,58.0119,1
265.8,60.281,1
261.072,59.7813,1
259.88,63.1175,1
273.289,57.8991,1
271.418,59.3469,1
248.195,66.1666,1
263.917,57.7645,1
274.531,58.9505,1
273.556,56.6355,1
262.456,64.0465,1
272.602,56.3025,1
274.255,58.0385,1
271.968,57.8675,1
275.601,56.8264,1
264.232,57.6699,1
274.892,55.0213,1
274.85,58.4297,1
258.728,61.1649,1
277.992,58.0592,1
273.672,55.2887,1
275.456,57.3754,1
14.1835,43.7853,1
259.564,61.8507,1
260.085,56.8159,1
259.015,60.4069,1
272.915,58.6158,1
260.376,60.3698,1
272.181,56.8926,1
271.143,53.483,1
269.116,56.8789,1
275.532,55.5653,1
272.369,56.669,1
274.516,58.5964,1
274.361,56.4618,1
275.392,58.2387,1
273.386,58.7772,1
260.469,60.1384,1
265.45,60.6074,1
272.845,40.6232,1
274.453,58.4162,1
274.044,58.1669,1
264.547,58.7438,1
267.7,59.6411,1
267.483,59.7855,1
87.6349,68.6378,1
274.248,55.1653,1
273.366,58.5359,1
275.605,55.0598,1
273.248,59.0138,1
263.157,59.6772,1
263.404,62.1816,1
275.358,58.2448,1
273.643,58.0785,1
275.323,57.2158,1
263.389,58.6861,1
267.428,58.7871,1
272.816,57.7142,1
263.053,59.2024,1
258.975,60.25,1
275.023,57.0722,1
260.011,59.71,1
159.407,6.45822,1
272.697,56.905,1
273.231,57.5806,1
264.8,59.2914,1
268.42,65.0414,1
271.263,39.8327,1
295.084,73.9086,1
241.907,49.1391,2
260.614,60.4109,2
258.481,62.1477,2
125.286,18.8879,2
275.676,55.0813,2
265.449,57.143,2
269.092,57.0595,2
270.937,56.7431,2
262.557,59.646,2
269.094,59.4686,2
273.646,59.9228,2
264.588,59.8858,2
272.592,57.9112,2
265.317,58.381,2
100.793,55.8886,2
273.206,58.431,2
273.099,59.1611,2
258.987,57.9335,2
271.326,58.3051,2
264.765,57.1166,2
263.249,60.1642,2
276.015,57.8301,2
268.391,53.326,2
273.944,56.2526,2
260.956,61.1076,2
274.862,55.9501,2
275.045,57.7201,2
258.635,59.7526,2
263.834,59.8898,2
273.573,58.1928,2
275.351,55.4941,2
267.638,56.816,2
258.739,59.6802,2
274.338,59.5182,2
266,56.8752,2
268.131,51.2635,2
273.516,56.2517,2
274.699,56.213,2
259.56,58.1596,2
