Spacing,26
Voids


Label Id,X1,Y1,Z1,X2,Y2,Z2,a11,a22,a33,a12,a13,a23,DimX,DimY,DimZ,phi,theta,Xm,Ym,Zm,Volume,Roundness,FeretDiam,Flatness,VoxDimX,VoxDimY,VoxDimZ,MajorLength,MinorLength,
1,12648.3,6588.54,39909.4,13956.5,5874.47,36626.7,0.131666,0.0392319,0.829102,0.0718716,0.330401,0.180353,1664,884,3354,151.372,24.4185,13302.4,6231.51,38268.1,4.481e+08,0,0,2.34773,64,34,129,3605.14,284.925,
2,42393.6,5835.78,13857.9,36150.2,4348.32,10332.1,0.726921,0.0412604,0.231819,0.173185,0.410504,0.0978004,6526,1638,3796,13.4006,61.2182,39271.9,5092.05,12095,3.95372e+08,0,0,1.25343,251,63,146,7322.8,264.093,
3,24912.2,3838.45,17438.9,27333.2,3708.59,10407.5,0.105957,0.000304814,0.893738,0.00568306,0.30773,0.0165053,3016,442,8554,176.93,19.0249,26122.7,3773.52,13923.2,3.61415e+08,0,0,1.82425,116,17,329,7437.62,225.582,
4,23526.9,3542.81,16036.7,25775.9,3464.11,11152.9,0.174909,0.000214194,0.824877,0.00612081,0.37984,0.0132922,2938,234,6422,177.996,24.7384,24651.4,3503.46,13594.8,1.83546e+08,0,0,3.15426,113,9,247,5377.35,152.446,
5,28861.1,4418.32,15187.9,30378.9,4491.42,11782.6,0.165685,0.000384271,0.833931,-0.00797921,0.371712,-0.0179013,1664,364,3432,182.757,24.0489,29620,4454.87,13485.2,1.61875e+08,0,0,1.09836,64,14,132,3728.95,254.545,
6,33139.8,5378.12,20842.3,33128,5293.27,20066.7,0.000230944,0.0118207,0.987948,0.00165225,0.015105,0.108066,780,546,858,82.043,6.30264,33133.9,5335.69,20454.5,1.54001e+08,0,0,1.7672,30,21,33,780.373,396.549,
7,31050.7,4685.36,16455.5,32979.3,4814.18,10666.1,0.0998434,0.000445495,0.899711,-0.00666931,0.299717,-0.0200204,2418,286,7176,183.822,18.4625,32015,4749.77,13560.8,1.52999e+08,0,0,1.6376,93,11,276,6103.54,159.899,
8,9225.97,2813.37,21609.5,10761.6,2409.8,18398.3,0.183765,0.0126919,0.803543,0.0482942,0.38427,0.100988,1690,546,3068,165.275,26.3105,9993.79,2611.59,20003.9,1.52876e+08,0,0,2.22899,65,21,118,3582.27,178.968,
9,32207.3,5399.05,22394.8,32495.3,5369.91,21685,0.141207,0.00144528,0.857348,0.0142858,0.347942,0.0352009,806,442,832,174.223,22.1909,32351.3,5384.48,22039.9,1.41364e+08,0,0,1.76876,31,17,32,766.577,382.3,
10,17729.9,6445.55,38498.4,18391.1,6102.22,36592.1,0.104355,0.0281388,0.867506,0.0541888,0.30088,0.156239,806,598,1872,152.558,21.3459,18060.5,6273.88,37545.2,1.4038e+08,0,0,1.16142,31,23,72,2046.7,298.339,
11,39210.3,5677.36,16959.8,37202.4,5156.36,15550.9,0.641163,0.0431698,0.315667,0.16637,0.449882,0.116736,2418,676,1924,14.5464,55.8167,38206.4,5416.86,16255.3,1.3175e+08,0,0,3.42259,93,26,74,2507.56,182.438,
12,21645.3,3503.57,19198.6,23318.5,3252.14,14445.1,0.109965,0.00248305,0.887552,0.0165242,0.312409,0.046945,1950,390,5382,171.454,19.5928,22481.9,3377.85,16821.9,1.30062e+08,0,0,1.3271,75,15,207,5045.61,188.214,
13,18523.1,885.977,14233.8,19107.8,883.773,13782.3,0.626473,8.89908e-06,0.373518,0.00236115,0.483734,0.00182318,780,572,728,179.784,52.3265,18815.5,884.875,14008.1,1.2428e+08,0,0,1.20787,30,22,28,738.736,444.541,
14,13683.1,6490.96,39341,14448.6,6066.92,37341.6,0.12301,0.0377498,0.83924,0.0681439,0.321302,0.177992,988,650,2184,151.015,23.6375,14065.8,6278.94,38341.3,1.17548e+08,0,0,2.42971,38,25,84,2182.51,193.235,
15,32100.7,4473.82,22129,31159.7,4173.99,20836.8,0.334766,0.0339874,0.631247,0.106667,0.459695,0.146473,1092,572,1378,17.6735,37.3909,31630.2,4323.9,21482.9,1.14191e+08,0,0,1.82716,42,22,53,1626.38,263.377,
16,1637.69,4149.69,29859.3,2641.49,3632.14,27315.8,0.130096,0.0345837,0.83532,0.067076,0.329654,0.169966,1222,676,2730,152.725,23.9417,2139.59,3890.91,28587.6,1.12117e+08,0,0,1.86997,47,26,105,2783.02,195.382,
