Volume;Sphericity;Surface Area;Phi ;Theta;Target;Target_Names
0.01;0.24;0.61;17.28;56.36;0;Top
0.01;0.28;0.64;17.80;56.10;0;Top
0.01;0.25;0.64;156.82;20.29;0;Top
0.01;0.31;0.47;18.61;39.36;0;Top
0.01;0.53;0.39;14.59;58.16;0;Top
0.03;0.23;1.80;180.22;49.70;0;Top
0.01;0.26;0.73;14.57;57.85;0;Top
0.01;0.29;0.49;18.83;42.17;0;Top
0.01;0.23;0.84;173.98;25.07;0;Top
0.01;0.24;1.16;22.20;31.53;0;Top
0.01;0.23;1.01;23.38;32.13;0;Top
0.02;0.23;1.28;17.05;40.72;0;Top
0.01;0.30;0.52;23.44;31.72;0;Top
0.01;0.28;0.51;21.61;31.52;0;Top
0.01;0.27;0.61;17.95;60.60;0;Top
0.01;0.27;0.67;16.31;34.59;0;Top
0.01;0.26;0.54;178.15;28.12;0;Top
0.01;0.23;0.92;184.09;61.34;0;Top
0.01;0.24;0.59;172.65;30.85;0;Top
0.02;0.24;1.29;12.96;58.62;0;Top
0.01;0.31;0.86;10.66;67.02;0;Top
0.01;0.27;0.62;24.28;34.15;0;Top
0.01;0.28;0.51;13.65;60.78;0;Top
0.01;0.24;0.75;24.95;32.96;0;Top
0.01;0.28;0.55;21.83;48.25;0;Top
0.01;0.22;0.73;163.00;27.51;0;Top
0.01;0.22;0.71;177.87;29.12;0;Top
0.01;0.22;1.34;24.36;38.99;0;Top
0.01;0.23;1.24;173.52;61.26;0;Top
0.01;0.26;0.82;171.00;29.38;0;Top
0.01;0.27;0.59;18.51;33.28;0;Top
0.01;0.24;0.74;14.44;57.96;0;Top
0.01;0.24;0.65;181.71;54.82;0;Top
0.01;0.26;0.63;16.24;61.07;0;Top
0.01;0.23;0.63;169.07;52.55;0;Top
0.03;0.24;2.14;18.67;38.94;0;Top
0.01;0.25;0.58;166.94;39.43;0;Top
0.01;0.24;0.63;12.58;59.37;0;Top
0.01;0.29;0.55;182.68;60.22;0;Top
0.02;0.24;1.71;63.46;10.46;0;Top
0.01;0.25;0.61;175.40;46.88;0;Top
0.02;0.24;1.39;15.96;36.90;0;Top
0.01;0.28;0.58;180.48;46.31;0;Top
0.01;0.26;0.59;8.87;62.07;0;Top
0.01;0.27;0.54;171.25;27.69;0;Top
0.01;0.27;0.53;188.10;45.83;0;Top
0.01;0.25;0.58;172.65;56.09;0;Top
0.01;0.24;0.66;11.92;59.49;0;Top
0.01;0.23;0.86;178.98;48.51;0;Top
0.01;0.26;0.57;30.10;27.45;0;Top
0.01;0.25;0.62;179.80;46.83;0;Top
